filename,size,time
127570.svg,34300,52.24203999932797
193896.svg,36536,76.27115599825629
12003.svg,15480,34.57854000043881
85186.svg,25866,30.997877998743206
12711.svg,17651,25.05760300118709
192387.svg,25289,37.433806999615626
173774.svg,42055,103.51716999866767
84850.svg,48767,52.87654499989003
100793.svg,41078,107.81744800078741
47796.svg,22866,42.102307001187
94420.svg,40752,58.14350199943874
175749.svg,16494,41.771714999413234
89802.svg,12994,17.758078000042588
15550.svg,25923,51.71080000036454
79817.svg,10392,22.217534999072086
120744.svg,24607,54.89183000099729
122145.svg,10605,16.999089000819367
15522.svg,11669,17.265540000153123
68684.svg,24834,68.87138299862272
77594.svg,36633,96.955244000128
1300.svg,22947,50.35577800117608
1571.svg,35230,352.8042399993865
32568.svg,10645,30.6519269997807
69333.svg,20253,45.743614000457455
101081.svg,13939,30.848757000057958
156507.svg,38643,39.5329099992523
138473.svg,49946,118.5084780008765
162113.svg,45778,138.86328499938827
78934.svg,11672,12.279832999411155
102149.svg,25314,34.606793999046204
72182.svg,14784,39.223977000801824
32517.svg,13932,19.226062000598176
98746.svg,28581,28.377564000038547
82100.svg,25057,102.9803900000843
87038.svg,24209,38.766175999626284
113046.svg,25072,39.3350169997575
199957.svg,27669,108.32597499938856
5025.svg,41134,86.10522400158516
122918.svg,25092,73.29554300122254
147544.svg,24642,62.65134100067371
181613.svg,28899,54.11600899969926
185565.svg,28955,38.66450399982568
26289.svg,21397,40.82737700082362
49718.svg,18021,20.911144998535747
145088.svg,18968,19.239878000007593
148342.svg,37854,65.76475300062157
110577.svg,13565,41.22647899930598
150383.svg,11221,21.113185001013335
71653.svg,28906,77.72022500103049
92810.svg,11079,38.116312000056496
97958.svg,23688,58.880740998574765
82842.svg,21729,15.140469000471057
42892.svg,24019,36.28626600038842
177083.svg,18765,25.53625399923476
33156.svg,13637,24.10710300136998
112532.svg,30627,25.763081001059618
80033.svg,21434,30.132899000818725
117685.svg,27581,59.05039999925066
7249.svg,20604,47.94712299917592
127620.svg,27021,43.83325700109708
103104.svg,15173,39.72244600117847
30401.svg,11484,25.562122000337695
69819.svg,11507,9.893589000057545
37384.svg,46890,153.80432900019514
181578.svg,28639,49.668003999613575
196832.svg,12519,22.811742999692797
152869.svg,31003,35.57548800017685
179495.svg,11604,16.18551699903037
170858.svg,44928,122.61054199916543
161097.svg,22721,14.46692100034852
169821.svg,25826,29.077731998768286
146500.svg,22533,56.662414001039
61400.svg,45682,95.67961200082209
146381.svg,23017,69.13502899988089
83698.svg,11920,20.052899000802427
69829.svg,13041,37.05314000035287
56645.svg,13544,17.80346299892699
92362.svg,25472,61.40810000033525
145768.svg,17579,42.88594299941906
88853.svg,44013,60.56760699902952
162836.svg,13983,6.056455000361893
180614.svg,13378,28.2281330000842
142698.svg,38890,109.37902800105803
161827.svg,15303,32.43056599967531
187762.svg,42786,98.14751900012197
17569.svg,17206,39.17403400009789
121544.svg,12215,28.860323000117205
121685.svg,18492,64.5435530004761
119282.svg,11642,24.81440500014287
161008.svg,19365,33.96649800015439
37637.svg,11150,17.631078999329475
144439.svg,26297,40.75395799918624
59817.svg,36743,100.29491200111806
172121.svg,20598,35.77724800015858
96065.svg,30348,62.646160999065614
68180.svg,44614,60.627049000686384
140708.svg,42360,69.96050300040224
73126.svg,20420,35.87809800046671
152572.svg,11102,20.322456999565475
16506.svg,14567,22.80271699964942
123106.svg,10474,25.692699000501307
158169.svg,19040,23.03428199957125
148415.svg,17243,33.70790100052545
150053.svg,12491,19.263803000285407
13177.svg,19162,26.60359400033485
58932.svg,16906,33.462809999036836
97679.svg,29496,53.89368099895364
160565.svg,15434,29.887217000577948
9779.svg,17868,49.26809100106766
63895.svg,17516,39.6838230008143
153365.svg,24632,65.0977770001191
44989.svg,11220,11.991289999059518
31618.svg,16044,38.26618499988399
154281.svg,34736,45.37211400020169
38667.svg,32468,39.08252099972742
101437.svg,29496,36.65923799962911
186319.svg,15860,16.652565998811042
147730.svg,28116,45.518990998971276
87015.svg,17854,59.211874000538955
108526.svg,20501,30.80633700119506
68283.svg,32074,97.16164299970842
85227.svg,14745,22.33711000008043
72068.svg,37131,16712.763950001317
103096.svg,16536,34.51143500024045
103444.svg,25441,49.41142999996373
143280.svg,19761,50.57633300020825
135428.svg,29891,76.91557999896759
106961.svg,40868,60.562246999325
66737.svg,23091,57.95497700091801
2603.svg,10158,24.38882400019793
5839.svg,12674,33.731895999153494
143068.svg,46486,95.25953099910112
103227.svg,13218,40.77964700081793
21373.svg,13964,16.300994999255636
3674.svg,11472,51.30685899894161
50268.svg,18278,30.54223999970418
3939.svg,20292,49.66314400007832
34443.svg,19589,39.464530998884584
16504.svg,12051,19.721754999409313
13316.svg,24843,41.925073999664164
26206.svg,16574,34.84695500083035
76195.svg,31695,65.60481199994683
185842.svg,36097,62.64327600001707
51130.svg,11692,15.537626999503118
72618.svg,22641,64.64815100116539
7878.svg,37881,85.57343300162756
199492.svg,10891,21.14011599951482
194673.svg,12142,61.90829099978146
94008.svg,33235,45.99407500063535
86284.svg,10349,13.802539999232977
179539.svg,19582,43.14399899885757
95356.svg,19762,30.74831800040556
18432.svg,12184,22.8235959984886
24818.svg,25163,36.862220000330126
100428.svg,25850,47.33426900020277
14350.svg,23856,357.59181500179693
123149.svg,11448,25.773490999199566
122125.svg,15419,24.437865999061614
42789.svg,17080,18.977755000378238
201576.svg,32621,52.113578998614685
100648.svg,26929,79.02810700034024
149819.svg,21414,45.31267200036382
131735.svg,11175,22.150980001242715
3892.svg,14680,44.161595000332454
179403.svg,11557,55.89611100003822
194128.svg,19607,37.642239998604055
117541.svg,37870,69.73725300122169
146844.svg,11051,13.675891001184937
169783.svg,46859,138.51120300023467
91082.svg,15510,26.127857998289983
38256.svg,15801,20.796509999854607
5184.svg,33852,78.06194899967522
13445.svg,10003,11.412388999815448
99391.svg,34876,86.02644600068743
186982.svg,18440,34.13543599890545
20754.svg,15330,23.056494999764254
185567.svg,31808,55.30710200036992
91125.svg,20079,34.44046100048581
183700.svg,28578,89.60736799963342
94878.svg,25202,22.271096000622492
105602.svg,35371,73.81776600050216
36048.svg,12228,20.58667399978731
47062.svg,34923,59.04247599937662
185236.svg,15018,18.101915000443114
141733.svg,39558,34.531130999312154
104165.svg,18497,42.610513999534305
196734.svg,14397,19.291675000204123
12731.svg,14095,31.656568999096635
96531.svg,42351,56.12699499943119
202031.svg,24710,45.08944199915277
108403.svg,13368,62.5158549992193
187680.svg,10672,25.77574499991897
4901.svg,16791,56.59502700109442
177282.svg,45157,53.91245600003458
139015.svg,33220,63.40105300114374
182082.svg,15527,18.28221499999927
34120.svg,16253,21.992631000102847
176716.svg,15888,25.110632999712834
40349.svg,21042,54.14881999968202
90660.svg,10358,18.90623000144842
103340.svg,29721,84.46131799973955
64088.svg,11574,10.617021998768905
106178.svg,10744,19.958139999289415
14160.svg,20885,74.82817900017835
162539.svg,18360,43.407143999502296
14943.svg,15930,39.365695000014966
133012.svg,11039,26.85250300055486
75231.svg,38860,70.09290299902204
14754.svg,32038,60.51644000035594
85631.svg,19834,28.99936500034528
37508.svg,13043,23.176331000286154
73566.svg,25824,77.01258300039626
