,filename,size,parse_time,reify_time,mask_time,serialize_time
0,132794.svg,13259,35.87304799998492,62.77135900018038,492.17607500008853,18.18597800001953
1,200042.svg,45064,87.22947599994768,68.77564299998085,582.2657260000597,52.76517000015701
2,24450.svg,34819,109.60737700020218,62.72470099997918,610.324872000092,58.43767999999727
3,117790.svg,30413,74.96913299996777,136.1863770000582,863.9061169999422,45.380077000118035
4,54959.svg,13203,22.276099000009708,42.23518599997078,480.4567399999087,14.72476200001438
5,140508.svg,29931,74.06541199998173,35.98603099999309,567.3125030000392,44.03698800001621
6,147432.svg,35134,175.72564700003568,142.77749500001846,613.8925590000781,65.90105200007201
7,68354.svg,45438,123.20594900006654,90.77092300003642,643.0779859999802,74.51299500007735
8,189983.svg,16855,33.465814999999566,98.44503099998292,493.57849500006523,21.29020299980766
9,128722.svg,43130,134.62907500002075,684.4000410001172,1062.6406220001172,101.53337600013401
10,162257.svg,41643,46.197154999845225,326.0249540001041,535.3558990000238,31.885351000028095
11,143115.svg,41532,90.82545600017511,153.22655800014218,634.6911359999012,62.8803440001775
12,198873.svg,32773,53.41973299982783,57.210158999851046,534.2403490001288,36.30088299996714
13,3535.svg,27899,118.66101200007506,70.0805900000887,594.4255689998954,54.86979300007988
14,160788.svg,47025,98.01651499992659,127.231687999938,693.8498340000478,67.56489400004284
15,7876.svg,11207,23.705581000058373,51.21659500014175,505.3367519999483,16.29311500005315
16,173602.svg,16970,40.454112000134046,20.0874689999182,503.4023799998977,25.568707000047652
17,186749.svg,38333,72.2661639999842,339.22126799984653,585.629709000159,51.14767500003836
18,180059.svg,11523,18.992897000089215,50.86515299990424,479.9061339999753,12.681554999971922
19,95769.svg,20815,28.626674999941315,90.01476999992519,541.096977000052,18.639130999872577
20,98696.svg,24434,52.80521500003488,109.0397479999865,521.0368999998991,30.273235000095156
21,157533.svg,35955,47.28780799996457,118.92133099991042,525.9848260000126,28.894379000121262
22,169800.svg,26076,48.549413000046115,127.90365299997575,533.2347860000937,32.596348999959446
23,142740.svg,18036,46.463576999940415,22.411733999888384,505.76177300013114,26.269207000041206
24,195148.svg,10557,18.324538999877404,69.05022000000827,472.10037900003954,12.990346000151476
25,42875.svg,29208,63.902288999997836,244.41918499996973,598.9962839998952,41.678016999867395
26,112836.svg,26606,38.6600350000208,94.97231299997111,528.2981009997911,27.37151199994514
27,65389.svg,42748,100.85441700016418,34.856394000144064,607.3574749998443,61.584694999964995
28,64097.svg,32853,59.162314999866794,104.20253100005539,538.854094999806,36.99474000018199
29,107231.svg,43653,119.69439699987561,73.06575999996312,643.304611999838,72.8106999999909
30,95742.svg,30548,64.56017599998631,114.6971890000259,578.4552019999865,34.514259999923524
31,91387.svg,49330,125.96943099993041,295.64739199986434,686.6841329999716,82.9931299999771
32,180567.svg,15532,28.027337000139596,65.44802799999161,486.6864590001114,19.082927999988897
33,79534.svg,31440,71.02925599997434,0.6237050001800526,552.3919820000174,42.101674999912575
34,86431.svg,15748,18.887880000193036,187.70573200004037,485.6895819998499,15.328207999800725
35,45979.svg,43509,57.131431000016164,165.37659300001906,668.7679220001428,41.96741199984899
36,114418.svg,43256,61.92132900014258,191.77973199998632,591.7867299999671,41.516533000049094
37,100781.svg,19647,24.848972999961916,269.82755199992425,509.9912860000586,17.7810860000136
38,49528.svg,39120,114.24910499999896,112.15874000004078,651.2706699998034,71.84452100000271
39,158011.svg,26201,64.59511299999576,1.8194460001268453,574.5523629998388,46.89596999992318
40,128328.svg,34089,74.11424399992939,257.62059899989254,890.7952309998564,41.22342100004062
41,114149.svg,43443,67.34066099988922,254.10944899999777,586.242853000158,45.15941200020279
42,94117.svg,44253,48.64962200008449,475.5823440000313,565.2776219999396,35.354901999880894
43,135030.svg,17611,34.59892900013983,130.43088099993838,507.346084999881,21.92983700001605
44,147431.svg,30968,80.7679699998971,101.94014199987578,592.9771319999873,49.99649799992767
45,37838.svg,10844,20.270463000088057,40.993518000050244,482.0563220000622,12.694730000021082
46,178167.svg,26714,141.99524300011035,142.3422870000195,700.126199999886,88.6202950000552
47,4194.svg,35469,94.36295599994082,387.0592719999877,657.3229749999427,65.5286700000488
48,186621.svg,11797,26.01608099985242,78.54982499998187,489.168411999799,15.670421999857354
49,19023.svg,10653,15.64575599991258,63.086882999868976,473.9476160000322,10.185326000055284
50,96123.svg,19118,93.9162550000674,108.05978300004426,934.854150000092,56.44611000002442
51,8949.svg,49642,123.51952900007745,205.22825100010778,670.4465929999515,75.96252400003323
52,22212.svg,41903,339.9490090000654,57.73865399987699,663.3000279998669,75.37294400003702
53,94316.svg,28405,86.1007610001252,141.3383960000374,642.8847919999043,62.941188999957376
54,114690.svg,20133,48.88093799991111,44.54687800011925,802.0447110000077,29.444023999985802
55,3863.svg,33834,101.90069800000856,214.09481399996366,664.0201039999738,66.97928100015815
56,106645.svg,35372,123.29399400005059,118.45891100006156,681.1998779999158,77.07353499995406
57,127884.svg,22352,21.56206499989821,145.55576700013262,488.0262510000648,14.825973000142767
58,155040.svg,48590,82.00472899989109,549.6600090000356,623.9063119999173,56.26934799988703
59,151715.svg,34044,70.2624629998354,162.2646739999709,548.9484600000196,34.437333999903785
60,154629.svg,25690,57.808215000022756,94.42490299989004,561.6852890000246,40.249908000077994
